,training_time,validation_rmse,test_rmse,prediction_time
Linear Regression,0.671875,2748.353004458071,2738.6387200534564,0.06967428000134532
Random Forest,1494.2897008,1614.9689201878434,1630.993374184314,1.0054024400000343
Decision Tree,81.9565231000015,1657.5607546810468,1685.7357133311302,0.07331241000028968
LightGBM,51.86200209999879,1503.0978855887033,1508.957982366628,0.12836701000087486
XGBoost,245.8848904000006,1498.4382475640637,1500.0166233436064,0.1490903399997478
CatBoost,957.2217846999993,1511.4833917132682,1527.5893873964376,0.1034449200007657
