,training_time,validation_rmse,test_rmse,prediction_time
Linear Regression,0.8720312629993714,2737.426427026613,2755.534722931344,0.046556234500894786
Random Forest,5493.151659857998,1613.414415015335,1639.072535379108,0.43632826219909476
Decision Tree,590.4294467889995,1653.2543943310088,1678.9750627852359,0.051551889500115064
LightGBM,141.95571184199798,1493.0301784399614,1522.3965168484494,0.07613341029937146
XGBoost,526.294169175002,1481.747961886857,1507.4000599110661,0.09506670990085694
CatBoost,738.8857747920047,1508.8285957241649,1536.6825316520265,0.04687390229883022
